representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,age,0.9234939759036145,0.9629396984924623,0.9428044280442804,1592
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,age,0.9280487804878049,0.9560301507537688,0.9418316831683168,1592
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,age,0.933698296836983,0.9635907093534212,0.9484090206981773,1593
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,age,0.9123222748815166,0.9673366834170855,0.9390243902439024,1592
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,ethnicity,0.946969696969697,0.946969696969697,0.946969696969697,1584
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,ethnicity,0.9452485840151038,0.9482323232323232,0.9467381027418846,1584
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,ethnicity,0.9369931378665003,0.9482323232323232,0.942579228114214,1584
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,ethnicity,0.9261538461538461,0.9501262626262627,0.9379869118105328,1584
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,gender,0.864290610006854,0.828515111695138,0.8460248238846024,1522
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,gender,0.8546666666666667,0.8423127463863338,0.8484447385837194,1522
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,gender,0.8597883597883598,0.8541392904073587,0.8569545154911009,1522
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,gender,0.8690884167237835,0.8325673013788575,0.8504359490274983,1523
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,not_cyberbullying,0.6633303002729755,0.5776545166402536,0.6175349428208387,1262
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,not_cyberbullying,0.6860133206470028,0.5708630245447348,0.6231633535004322,1263
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,not_cyberbullying,0.6790697674418604,0.5779889152810768,0.6244653550042771,1263
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,not_cyberbullying,0.65,0.5455265241488519,0.5931984502798106,1263
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,other_cyberbullying,0.6625097427903351,0.7030603804797353,0.6821829855537721,1209
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,other_cyberbullying,0.6471030850263356,0.7113316790736146,0.677698975571316,1209
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,other_cyberbullying,0.6606441476826395,0.6961920529801324,0.6779524385328497,1208
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,other_cyberbullying,0.6339712918660287,0.6581125827814569,0.6458164094232332,1208
all_minilm_l6_v2,linear_svm_c0_5,1,26295,8765,religion,0.924404761904762,0.9730576441102757,0.9481074481074481,1596
all_minilm_l6_v2,linear_svm_c0_5,2,26295,8765,religion,0.9245169082125604,0.9598746081504702,0.9418640418332821,1595
all_minilm_l6_v2,linear_svm_c0_5,3,26295,8765,religion,0.9221954161640531,0.9586206896551724,0.9400553335382723,1595
all_minilm_l6_v2,linear_svm_c0_5,4,26295,8765,religion,0.9041095890410958,0.9517241379310345,0.9273060476481368,1595
all_minilm_l6_v2,logistic_regression_c1_balanced,1,26295,8765,age,0.9409547738693468,0.9409547738693468,0.9409547738693468,1592
all_minilm_l6_v2,logistic_regression_c1_balanced,2,26295,8765,age,0.9380475594493116,0.9415829145728644,0.9398119122257054,1592
all_minilm_l6_v2,logistic_regression_c1_balanced,3,26295,8765,age,0.9509125235997483,0.9485247959824231,0.9497171590194846,1593
all_minilm_l6_v2,logistic_regression_c1_balanced,4,26295,8765,age,0.9292251372788286,0.9566582914572864,0.9427421850820179,1592
all_minilm_l6_v2,logistic_regression_c1_balanced,1,26295,8765,ethnicity,0.9539857420609202,0.9292929292929293,0.9414774544291653,1584
all_minilm_l6_v2,logistic_regression_c1_balanced,2,26295,8765,ethnicity,0.9594855305466238,0.9419191919191919,0.9506212169480727,1584
all_minilm_l6_v2,logistic_regression_c1_balanced,3,26295,8765,ethnicity,0.9403174603174603,0.9349747474747475,0.9376384931940488,1584
all_minilm_l6_v2,logistic_regression_c1_balanced,4,26295,8765,ethnicity,0.9379746835443038,0.9356060606060606,0.9367888748419722,1584
all_minilm_l6_v2,logistic_regression_c1_balanced,1,26295,8765,gender,0.8750887154009936,0.8101182654402103,0.8413510747185261,1522
all_minilm_l6_v2,logistic_regression_c1_balanced,2,26295,8765,gender,0.8643250688705234,0.8245729303547963,0.843981170141224,1522
all_minilm_l6_v2,logistic_regression_c1_balanced,3,26295,8765,gender,0.8689419795221843,0.8363994743758213,0.8523602276531637,1522
all_minilm_l6_v2,logistic_regression_c1_balanced,4,26295,8765,gender,0.877365101611773,0.8220617202889035,0.848813559322034,1523
all_minilm_l6_v2,logistic_regression_c1_balanced,1,26295,8765,not_cyberbullying,0.6218152866242038,0.6188589540412044,0.6203335980937251,1262
all_minilm_l6_v2,logistic_regression_c1_balanced,2,26295,8765,not_cyberbullying,0.6528138528138528,0.5969912905779889,0.6236559139784946,1263
