representation,model,label,precision_mean,recall_mean,f1_mean,support_total
all_minilm_l6_v2,linear_svm_c0_5,age,0.9243908320274797,0.9624743105041844,0.9430173805386692,6369
all_minilm_l6_v2,linear_svm_c0_5,ethnicity,0.9388413162512868,0.9483901515151515,0.9435684849090822,6336
all_minilm_l6_v2,linear_svm_c0_5,gender,0.861958513296416,0.8393836124669221,0.8504650067467303,6089
all_minilm_l6_v2,linear_svm_c0_5,not_cyberbullying,0.6696033470904597,0.5680082451537293,0.6145905254013396,5051
all_minilm_l6_v2,linear_svm_c0_5,other_cyberbullying,0.6510570668413347,0.6921741738287348,0.6709127022702928,4834
all_minilm_l6_v2,linear_svm_c0_5,religion,0.9188066688306178,0.9608192699617382,0.9393332177817848,6381
all_minilm_l6_v2,logistic_regression_c1_balanced,age,0.9397849985493089,0.9469301939704802,0.9433065075491387,6369
all_minilm_l6_v2,logistic_regression_c1_balanced,ethnicity,0.9479408541173271,0.9354482323232323,0.9416315098533148,6336
all_minilm_l6_v2,logistic_regression_c1_balanced,gender,0.8714302163513685,0.8232880976149328,0.846626507958737,6089
all_minilm_l6_v2,logistic_regression_c1_balanced,not_cyberbullying,0.6354358671074457,0.6030520306718213,0.6186772468226182,5051
all_minilm_l6_v2,logistic_regression_c1_balanced,other_cyberbullying,0.6334405377098483,0.7023114787548135,0.6660030523743986,4834
all_minilm_l6_v2,logistic_regression_c1_balanced,religion,0.9308681300686759,0.9453048766115917,0.9380288800431843,6381
