representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,logistic_regression_balanced,1,26295,8765,age,age,1546
combined,logistic_regression_balanced,1,26295,8765,age,ethnicity,0
combined,logistic_regression_balanced,1,26295,8765,age,gender,2
combined,logistic_regression_balanced,1,26295,8765,age,not_cyberbullying,30
combined,logistic_regression_balanced,1,26295,8765,age,other_cyberbullying,13
combined,logistic_regression_balanced,1,26295,8765,age,religion,1
combined,logistic_regression_balanced,1,26295,8765,ethnicity,age,1
combined,logistic_regression_balanced,1,26295,8765,ethnicity,ethnicity,1550
combined,logistic_regression_balanced,1,26295,8765,ethnicity,gender,1
combined,logistic_regression_balanced,1,26295,8765,ethnicity,not_cyberbullying,7
combined,logistic_regression_balanced,1,26295,8765,ethnicity,other_cyberbullying,22
combined,logistic_regression_balanced,1,26295,8765,ethnicity,religion,3
combined,logistic_regression_balanced,1,26295,8765,gender,age,2
combined,logistic_regression_balanced,1,26295,8765,gender,ethnicity,1
combined,logistic_regression_balanced,1,26295,8765,gender,gender,1283
combined,logistic_regression_balanced,1,26295,8765,gender,not_cyberbullying,132
combined,logistic_regression_balanced,1,26295,8765,gender,other_cyberbullying,100
combined,logistic_regression_balanced,1,26295,8765,gender,religion,4
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,age,32
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,ethnicity,8
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,gender,46
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,not_cyberbullying,872
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,other_cyberbullying,254
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,religion,50
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,age,11
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,ethnicity,6
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,gender,39
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,not_cyberbullying,186
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,other_cyberbullying,966
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,religion,1
combined,logistic_regression_balanced,1,26295,8765,religion,age,1
combined,logistic_regression_balanced,1,26295,8765,religion,ethnicity,0
combined,logistic_regression_balanced,1,26295,8765,religion,gender,2
combined,logistic_regression_balanced,1,26295,8765,religion,not_cyberbullying,47
combined,logistic_regression_balanced,1,26295,8765,religion,other_cyberbullying,22
