representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
combined,logistic_regression_balanced,1,26295,8765,age,0.970495919648462,0.9711055276381909,0.9708006279434851,1592
combined,logistic_regression_balanced,2,26295,8765,age,0.9645301804604853,0.9736180904522613,0.9690528290090653,1592
combined,logistic_regression_balanced,3,26295,8765,age,0.9701678060907396,0.9799121155053359,0.9750156152404748,1593
combined,logistic_regression_balanced,4,26295,8765,age,0.9614443084455324,0.9868090452261307,0.9739615623062616,1592
combined,logistic_regression_balanced,1,26295,8765,ethnicity,0.9904153354632588,0.9785353535353535,0.9844395046046364,1584
combined,logistic_regression_balanced,2,26295,8765,ethnicity,0.989192625556262,0.9823232323232324,0.9857459613557175,1584
combined,logistic_regression_balanced,3,26295,8765,ethnicity,0.9873417721518988,0.9848484848484849,0.9860935524652339,1584
combined,logistic_regression_balanced,4,26295,8765,ethnicity,0.9892336922102597,0.9861111111111112,0.9876699336073348,1584
combined,logistic_regression_balanced,1,26295,8765,gender,0.9344501092498179,0.842969776609724,0.8863557858376512,1522
combined,logistic_regression_balanced,2,26295,8765,gender,0.9248389405869721,0.8488830486202366,0.8852346694073313,1522
combined,logistic_regression_balanced,3,26295,8765,gender,0.9211822660098522,0.8600525624178712,0.889568467550119,1522
combined,logistic_regression_balanced,4,26295,8765,gender,0.9349240780911063,0.8489822718319107,0.8898830006882312,1523
combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,0.6844583987441131,0.6909667194928685,0.6876971608832808,1262
combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,0.6895986895986896,0.6666666666666666,0.677938808373591,1263
combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,0.6999175597691674,0.672209026128266,0.68578352180937,1263
combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,0.7047377326565144,0.6595407759303247,0.6813905930470348,1263
combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,0.7015250544662309,0.7990074441687345,0.7470997679814385,1209
