split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
grouped,combined,logistic_regression_balanced,1,26295,8765,age,age,1546
grouped,combined,logistic_regression_balanced,1,26295,8765,age,ethnicity,0
grouped,combined,logistic_regression_balanced,1,26295,8765,age,gender,2
grouped,combined,logistic_regression_balanced,1,26295,8765,age,not_cyberbullying,30
grouped,combined,logistic_regression_balanced,1,26295,8765,age,other_cyberbullying,13
grouped,combined,logistic_regression_balanced,1,26295,8765,age,religion,1
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,age,1
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,ethnicity,1550
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,gender,1
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,not_cyberbullying,7
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,other_cyberbullying,22
grouped,combined,logistic_regression_balanced,1,26295,8765,ethnicity,religion,3
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,age,2
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,ethnicity,1
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,gender,1283
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,not_cyberbullying,132
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,other_cyberbullying,100
grouped,combined,logistic_regression_balanced,1,26295,8765,gender,religion,4
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,age,32
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,ethnicity,8
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,gender,46
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,not_cyberbullying,872
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,other_cyberbullying,254
grouped,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,religion,50
grouped,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,age,11
grouped,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,ethnicity,6
