representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
character,linear_svm,1,26295,8765,age,age,1556
character,linear_svm,1,26295,8765,age,ethnicity,0
character,linear_svm,1,26295,8765,age,gender,1
character,linear_svm,1,26295,8765,age,not_cyberbullying,20
character,linear_svm,1,26295,8765,age,other_cyberbullying,14
character,linear_svm,1,26295,8765,age,religion,1
character,linear_svm,1,26295,8765,ethnicity,age,1
character,linear_svm,1,26295,8765,ethnicity,ethnicity,1556
character,linear_svm,1,26295,8765,ethnicity,gender,3
character,linear_svm,1,26295,8765,ethnicity,not_cyberbullying,5
character,linear_svm,1,26295,8765,ethnicity,other_cyberbullying,15
character,linear_svm,1,26295,8765,ethnicity,religion,4
character,linear_svm,1,26295,8765,gender,age,2
character,linear_svm,1,26295,8765,gender,ethnicity,4
character,linear_svm,1,26295,8765,gender,gender,1312
character,linear_svm,1,26295,8765,gender,not_cyberbullying,107
character,linear_svm,1,26295,8765,gender,other_cyberbullying,91
character,linear_svm,1,26295,8765,gender,religion,6
character,linear_svm,1,26295,8765,not_cyberbullying,age,51
character,linear_svm,1,26295,8765,not_cyberbullying,ethnicity,10
character,linear_svm,1,26295,8765,not_cyberbullying,gender,56
character,linear_svm,1,26295,8765,not_cyberbullying,not_cyberbullying,846
character,linear_svm,1,26295,8765,not_cyberbullying,other_cyberbullying,239
character,linear_svm,1,26295,8765,not_cyberbullying,religion,60
character,linear_svm,1,26295,8765,other_cyberbullying,age,16
character,linear_svm,1,26295,8765,other_cyberbullying,ethnicity,10
character,linear_svm,1,26295,8765,other_cyberbullying,gender,56
character,linear_svm,1,26295,8765,other_cyberbullying,not_cyberbullying,207
character,linear_svm,1,26295,8765,other_cyberbullying,other_cyberbullying,918
character,linear_svm,1,26295,8765,other_cyberbullying,religion,2
character,linear_svm,1,26295,8765,religion,age,2
character,linear_svm,1,26295,8765,religion,ethnicity,2
character,linear_svm,1,26295,8765,religion,gender,5
character,linear_svm,1,26295,8765,religion,not_cyberbullying,35
character,linear_svm,1,26295,8765,religion,other_cyberbullying,17
character,linear_svm,1,26295,8765,religion,religion,1535
character,linear_svm,2,26295,8765,age,age,1552
character,linear_svm,2,26295,8765,age,ethnicity,1
character,linear_svm,2,26295,8765,age,gender,2
character,linear_svm,2,26295,8765,age,not_cyberbullying,19
character,linear_svm,2,26295,8765,age,other_cyberbullying,17
character,linear_svm,2,26295,8765,age,religion,1
character,linear_svm,2,26295,8765,ethnicity,age,0
character,linear_svm,2,26295,8765,ethnicity,ethnicity,1557
character,linear_svm,2,26295,8765,ethnicity,gender,5
character,linear_svm,2,26295,8765,ethnicity,not_cyberbullying,12
character,linear_svm,2,26295,8765,ethnicity,other_cyberbullying,8
character,linear_svm,2,26295,8765,ethnicity,religion,2
character,linear_svm,2,26295,8765,gender,age,5
character,linear_svm,2,26295,8765,gender,ethnicity,1
character,linear_svm,2,26295,8765,gender,gender,1331
character,linear_svm,2,26295,8765,gender,not_cyberbullying,88
character,linear_svm,2,26295,8765,gender,other_cyberbullying,89
character,linear_svm,2,26295,8765,gender,religion,8
character,linear_svm,2,26295,8765,not_cyberbullying,age,45
character,linear_svm,2,26295,8765,not_cyberbullying,ethnicity,14
character,linear_svm,2,26295,8765,not_cyberbullying,gender,70
character,linear_svm,2,26295,8765,not_cyberbullying,not_cyberbullying,824
character,linear_svm,2,26295,8765,not_cyberbullying,other_cyberbullying,257
character,linear_svm,2,26295,8765,not_cyberbullying,religion,53
character,linear_svm,2,26295,8765,other_cyberbullying,age,19
character,linear_svm,2,26295,8765,other_cyberbullying,ethnicity,16
character,linear_svm,2,26295,8765,other_cyberbullying,gender,61
character,linear_svm,2,26295,8765,other_cyberbullying,not_cyberbullying,203
character,linear_svm,2,26295,8765,other_cyberbullying,other_cyberbullying,903
character,linear_svm,2,26295,8765,other_cyberbullying,religion,7
character,linear_svm,2,26295,8765,religion,age,0
character,linear_svm,2,26295,8765,religion,ethnicity,0
character,linear_svm,2,26295,8765,religion,gender,6
character,linear_svm,2,26295,8765,religion,not_cyberbullying,51
character,linear_svm,2,26295,8765,religion,other_cyberbullying,19
character,linear_svm,2,26295,8765,religion,religion,1519
character,linear_svm,3,26295,8765,age,age,1566
character,linear_svm,3,26295,8765,age,ethnicity,1
character,linear_svm,3,26295,8765,age,gender,0
character,linear_svm,3,26295,8765,age,not_cyberbullying,13
character,linear_svm,3,26295,8765,age,other_cyberbullying,11
character,linear_svm,3,26295,8765,age,religion,2
character,linear_svm,3,26295,8765,ethnicity,age,3
character,linear_svm,3,26295,8765,ethnicity,ethnicity,1564
character,linear_svm,3,26295,8765,ethnicity,gender,1
character,linear_svm,3,26295,8765,ethnicity,not_cyberbullying,7
character,linear_svm,3,26295,8765,ethnicity,other_cyberbullying,8
character,linear_svm,3,26295,8765,ethnicity,religion,1
character,linear_svm,3,26295,8765,gender,age,2
character,linear_svm,3,26295,8765,gender,ethnicity,8
character,linear_svm,3,26295,8765,gender,gender,1334
character,linear_svm,3,26295,8765,gender,not_cyberbullying,90
character,linear_svm,3,26295,8765,gender,other_cyberbullying,81
character,linear_svm,3,26295,8765,gender,religion,7
character,linear_svm,3,26295,8765,not_cyberbullying,age,34
character,linear_svm,3,26295,8765,not_cyberbullying,ethnicity,14
character,linear_svm,3,26295,8765,not_cyberbullying,gender,82
character,linear_svm,3,26295,8765,not_cyberbullying,not_cyberbullying,817
character,linear_svm,3,26295,8765,not_cyberbullying,other_cyberbullying,261
character,linear_svm,3,26295,8765,not_cyberbullying,religion,55
character,linear_svm,3,26295,8765,other_cyberbullying,age,24
character,linear_svm,3,26295,8765,other_cyberbullying,ethnicity,4
character,linear_svm,3,26295,8765,other_cyberbullying,gender,69
character,linear_svm,3,26295,8765,other_cyberbullying,not_cyberbullying,213
character,linear_svm,3,26295,8765,other_cyberbullying,other_cyberbullying,885
character,linear_svm,3,26295,8765,other_cyberbullying,religion,13
character,linear_svm,3,26295,8765,religion,age,0
character,linear_svm,3,26295,8765,religion,ethnicity,2
character,linear_svm,3,26295,8765,religion,gender,6
character,linear_svm,3,26295,8765,religion,not_cyberbullying,29
character,linear_svm,3,26295,8765,religion,other_cyberbullying,14
character,linear_svm,3,26295,8765,religion,religion,1544
character,linear_svm,4,26295,8765,age,age,1575
character,linear_svm,4,26295,8765,age,ethnicity,1
character,linear_svm,4,26295,8765,age,gender,1
character,linear_svm,4,26295,8765,age,not_cyberbullying,5
character,linear_svm,4,26295,8765,age,other_cyberbullying,9
character,linear_svm,4,26295,8765,age,religion,1
character,linear_svm,4,26295,8765,ethnicity,age,2
character,linear_svm,4,26295,8765,ethnicity,ethnicity,1563
character,linear_svm,4,26295,8765,ethnicity,gender,0
character,linear_svm,4,26295,8765,ethnicity,not_cyberbullying,6
character,linear_svm,4,26295,8765,ethnicity,other_cyberbullying,10
character,linear_svm,4,26295,8765,ethnicity,religion,3
character,linear_svm,4,26295,8765,gender,age,6
character,linear_svm,4,26295,8765,gender,ethnicity,2
character,linear_svm,4,26295,8765,gender,gender,1327
character,linear_svm,4,26295,8765,gender,not_cyberbullying,89
character,linear_svm,4,26295,8765,gender,other_cyberbullying,93
character,linear_svm,4,26295,8765,gender,religion,6
character,linear_svm,4,26295,8765,not_cyberbullying,age,46
character,linear_svm,4,26295,8765,not_cyberbullying,ethnicity,13
character,linear_svm,4,26295,8765,not_cyberbullying,gender,49
character,linear_svm,4,26295,8765,not_cyberbullying,not_cyberbullying,800
character,linear_svm,4,26295,8765,not_cyberbullying,other_cyberbullying,289
character,linear_svm,4,26295,8765,not_cyberbullying,religion,66
character,linear_svm,4,26295,8765,other_cyberbullying,age,17
character,linear_svm,4,26295,8765,other_cyberbullying,ethnicity,11
character,linear_svm,4,26295,8765,other_cyberbullying,gender,59
character,linear_svm,4,26295,8765,other_cyberbullying,not_cyberbullying,220
character,linear_svm,4,26295,8765,other_cyberbullying,other_cyberbullying,892
character,linear_svm,4,26295,8765,other_cyberbullying,religion,9
character,linear_svm,4,26295,8765,religion,age,2
character,linear_svm,4,26295,8765,religion,ethnicity,2
character,linear_svm,4,26295,8765,religion,gender,10
character,linear_svm,4,26295,8765,religion,not_cyberbullying,38
character,linear_svm,4,26295,8765,religion,other_cyberbullying,18
character,linear_svm,4,26295,8765,religion,religion,1525
character,logistic_regression,1,26295,8765,age,age,1548
character,logistic_regression,1,26295,8765,age,ethnicity,0
character,logistic_regression,1,26295,8765,age,gender,1
character,logistic_regression,1,26295,8765,age,not_cyberbullying,29
character,logistic_regression,1,26295,8765,age,other_cyberbullying,13
character,logistic_regression,1,26295,8765,age,religion,1
character,logistic_regression,1,26295,8765,ethnicity,age,1
character,logistic_regression,1,26295,8765,ethnicity,ethnicity,1547
character,logistic_regression,1,26295,8765,ethnicity,gender,3
character,logistic_regression,1,26295,8765,ethnicity,not_cyberbullying,11
character,logistic_regression,1,26295,8765,ethnicity,other_cyberbullying,18
character,logistic_regression,1,26295,8765,ethnicity,religion,4
character,logistic_regression,1,26295,8765,gender,age,2
character,logistic_regression,1,26295,8765,gender,ethnicity,1
character,logistic_regression,1,26295,8765,gender,gender,1284
character,logistic_regression,1,26295,8765,gender,not_cyberbullying,127
character,logistic_regression,1,26295,8765,gender,other_cyberbullying,102
character,logistic_regression,1,26295,8765,gender,religion,6
character,logistic_regression,1,26295,8765,not_cyberbullying,age,40
character,logistic_regression,1,26295,8765,not_cyberbullying,ethnicity,8
character,logistic_regression,1,26295,8765,not_cyberbullying,gender,51
character,logistic_regression,1,26295,8765,not_cyberbullying,not_cyberbullying,855
character,logistic_regression,1,26295,8765,not_cyberbullying,other_cyberbullying,250
character,logistic_regression,1,26295,8765,not_cyberbullying,religion,58
character,logistic_regression,1,26295,8765,other_cyberbullying,age,16
character,logistic_regression,1,26295,8765,other_cyberbullying,ethnicity,7
character,logistic_regression,1,26295,8765,other_cyberbullying,gender,47
character,logistic_regression,1,26295,8765,other_cyberbullying,not_cyberbullying,199
character,logistic_regression,1,26295,8765,other_cyberbullying,other_cyberbullying,935
character,logistic_regression,1,26295,8765,other_cyberbullying,religion,5
character,logistic_regression,1,26295,8765,religion,age,1
character,logistic_regression,1,26295,8765,religion,ethnicity,0
character,logistic_regression,1,26295,8765,religion,gender,3
character,logistic_regression,1,26295,8765,religion,not_cyberbullying,39
character,logistic_regression,1,26295,8765,religion,other_cyberbullying,19
character,logistic_regression,1,26295,8765,religion,religion,1534
character,logistic_regression,2,26295,8765,age,age,1550
character,logistic_regression,2,26295,8765,age,ethnicity,1
character,logistic_regression,2,26295,8765,age,gender,2
character,logistic_regression,2,26295,8765,age,not_cyberbullying,19
character,logistic_regression,2,26295,8765,age,other_cyberbullying,18
character,logistic_regression,2,26295,8765,age,religion,2
character,logistic_regression,2,26295,8765,ethnicity,age,1
character,logistic_regression,2,26295,8765,ethnicity,ethnicity,1554
character,logistic_regression,2,26295,8765,ethnicity,gender,2
character,logistic_regression,2,26295,8765,ethnicity,not_cyberbullying,13
