representation,model,validation_fold,train_rows,validation_rows,macro_f1,balanced_accuracy,mcc
character,linear_svm,1,26295,8765,0.8684658705027176,0.8688638300694503,0.8571411426135322
character,linear_svm,2,26295,8765,0.8635483131228758,0.8640000650077099,0.8520272346781098
character,linear_svm,3,26295,8765,0.8651335839648978,0.865736066829336,0.855273561952337
character,linear_svm,4,26295,8765,0.8618537274786106,0.8625511037531375,0.851569216101377
character,logistic_regression,1,26295,8765,0.8671502453198556,0.8674408947979737,0.8545674358221161
character,logistic_regression,2,26295,8765,0.8657982647533392,0.8663203047520495,0.8532276813044001
character,logistic_regression,3,26295,8765,0.8688242315929915,0.8692291812018919,0.857969802755744
character,logistic_regression,4,26295,8765,0.866607403091825,0.8674081210087407,0.8557809906087398
combined,linear_svm,1,26295,8765,0.8704228564565589,0.8709110034878386,0.8590990428235973
combined,linear_svm,2,26295,8765,0.8643491619927027,0.8649853585738719,0.8533002872787037
combined,linear_svm,3,26295,8765,0.8666900939456011,0.8673002779617685,0.8570461309901981
combined,linear_svm,4,26295,8765,0.8620829853854598,0.8629528498431803,0.8519826644253231
combined,logistic_regression,1,26295,8765,0.8709725613132963,0.871380719171452,0.8589527358602498
combined,logistic_regression,2,26295,8765,0.8660508886024735,0.8665327340886063,0.8538603807732912
combined,logistic_regression,3,26295,8765,0.8726607940118255,0.8732219663933285,0.8626474985847817
combined,logistic_regression,4,26295,8765,0.8664256130889024,0.8672144803518145,0.8557042393238171
word,linear_svm,1,26295,8765,0.8536893623217964,0.8545143567639061,0.8418989242325343
word,linear_svm,2,26295,8765,0.8469375811608496,0.8479191824312237,0.835413616560645
word,linear_svm,3,26295,8765,0.8561711382105518,0.8570917738993638,0.8458834542364367
word,linear_svm,4,26295,8765,0.8478787560377065,0.8490645819517689,0.8373488094734253
word,logistic_regression,1,26295,8765,0.851106590550649,0.8520090580070301,0.8381036021311834
word,logistic_regression,2,26295,8765,0.8453083355777897,0.8463051264281981,0.8322157474342915
word,logistic_regression,3,26295,8765,0.8567749472325633,0.8575959463641928,0.8455053724838792
word,logistic_regression,4,26295,8765,0.8473924198033337,0.8486310264954509,0.8362473247216498
