representation,model,label,precision_mean,recall_mean,f1_mean,support_total
character,linear_svm,age,0.9575593722579283,0.9811584405076228,0.9692060519185138,6369
character,linear_svm,ethnicity,0.981751482469275,0.9848484848484849,0.9832957397639515,6336
character,linear_svm,gender,0.9074351319112605,0.8710789575177976,0.8888285196577537,6089
character,linear_svm,not_cyberbullying,0.6928911209542454,0.6507661054039573,0.6710964828011621,5051
character,linear_svm,other_cyberbullying,0.6976453990159786,0.7443074910029086,0.7201849419089166,4834
character,linear_svm,religion,0.9522660229146757,0.95956711920868,0.9558905065533552,6381
character,logistic_regression,age,0.9607247048872646,0.978646173428347,0.96958170383618,6369
character,logistic_regression,ethnicity,0.9870019661227379,0.982165404040404,0.9845716085988443,6336
character,logistic_regression,gender,0.9221501604792065,0.8531783351725578,0.886282744115872,6089
character,logistic_regression,not_cyberbullying,0.6901518619119527,0.6630398844097456,0.6761919618238055,5051
character,logistic_regression,other_cyberbullying,0.6936509949950357,0.7718220547877672,0.7305557427003997,4834
character,logistic_regression,religion,0.9540526489473145,0.9567459008021622,0.9553864560619159,6381
combined,linear_svm,age,0.9591885170995934,0.9814727080159114,0.9701981118837466,6369
combined,linear_svm,ethnicity,0.9796194990490608,0.9859532828282829,0.9827750087844344,6336
combined,linear_svm,gender,0.9080761468540182,0.8725571676691087,0.8898699287000332,6089
combined,linear_svm,not_cyberbullying,0.6917301763338795,0.6462140803786421,0.6681211597154458,5051
combined,linear_svm,other_cyberbullying,0.7030819002747734,0.7536161254717653,0.7274161006913848,4834
combined,linear_svm,religion,0.9545182522736815,0.9594108704362788,0.9569373368954393,6381
combined,logistic_regression,age,0.9628352032712297,0.979431349307744,0.9710407689197058,6369
combined,logistic_regression,ethnicity,0.9871740283004725,0.9835858585858586,0.9853724399115444,6336
combined,logistic_regression,gender,0.9191750471420852,0.8597482060011924,0.8883987198427876,6089
combined,logistic_regression,not_cyberbullying,0.6972449416136111,0.6622481187723742,0.6791708648664954,5051
combined,logistic_regression,other_cyberbullying,0.6975504309413602,0.7745115962510749,0.7339895475371225,4834
combined,logistic_regression,religion,0.9544296312036061,0.9579997210895578,0.9561924444470908,6381
word,linear_svm,age,0.9473428880011804,0.9822585739431622,0.9644668571189957,6369
word,linear_svm,ethnicity,0.9725296740445056,0.983270202020202,0.977869755966227,6336
word,linear_svm,gender,0.9045121346805572,0.8587622292608389,0.8809370611918764,6089
word,linear_svm,not_cyberbullying,0.6790219937907086,0.6081996052464825,0.6416279160288649,5051
word,linear_svm,other_cyberbullying,0.6671087980309557,0.7211404943059504,0.6930490624364989,4834
word,linear_svm,religion,0.9391040803439922,0.9592537377927577,0.9490646038538937,6381
word,logistic_regression,age,0.95058353910849,0.9806876307147792,0.9653809058694298,6369
word,logistic_regression,ethnicity,0.9768303159370081,0.978219696969697,0.9775238157028723,6336
word,logistic_regression,gender,0.9165168369459362,0.8387253958790444,0.875787832773775,6089
word,logistic_regression,not_cyberbullying,0.6835872335441853,0.6085948606755982,0.6438534232982455,5051
word,logistic_regression,other_cyberbullying,0.6553573826999953,0.7443081757130572,0.6969555920462921,4834
word,logistic_regression,religion,0.9269422796780136,0.956275975990132,0.9413718700558887,6381
