representation,model,validation_fold,train_rows,validation_rows,elapsed_seconds,feature_count,train_matrix_mib,validation_matrix_mib
character,linear_svm,1,26295,8765,10.26637554098852,80000,69.14067459106445,22.769039154052734
character,linear_svm,2,26295,8765,10.927480542042758,80000,69.04422378540039,22.865478515625
character,linear_svm,3,26295,8765,11.04941645899089,80000,69.00474166870117,22.9061279296875
character,linear_svm,4,26295,8765,11.164371582970489,80000,69.04096221923828,22.866600036621094
character,logistic_regression,1,26295,8765,15.215468207956292,80000,69.14067459106445,22.769039154052734
character,logistic_regression,2,26295,8765,14.935504583991133,80000,69.04422378540039,22.865478515625
character,logistic_regression,3,26295,8765,14.465515167044941,80000,69.00474166870117,22.9061279296875
character,logistic_regression,4,26295,8765,15.4306860420038,80000,69.04096221923828,22.866600036621094
combined,linear_svm,1,26295,8765,15.052659542008769,120000,78.69733810424805,25.781169891357422
combined,linear_svm,2,26295,8765,16.326635624980554,120000,78.58270263671875,25.891204833984375
combined,linear_svm,3,26295,8765,16.54822866700124,120000,78.53810501098633,25.93842315673828
combined,linear_svm,4,26295,8765,16.4526988749858,120000,78.58053970336914,25.893756866455078
combined,logistic_regression,1,26295,8765,21.454503000015393,120000,78.69733810424805,25.781169891357422
combined,logistic_regression,2,26295,8765,20.09040212497348,120000,78.58270263671875,25.891204833984375
combined,logistic_regression,3,26295,8765,21.021452667017,120000,78.53810501098633,25.93842315673828
combined,logistic_regression,4,26295,8765,19.82788195903413,120000,78.58053970336914,25.893756866455078
word,linear_svm,1,26295,8765,5.301533541991375,70605,10.591075897216797,3.279064178466797
word,linear_svm,2,26295,8765,5.439879374986049,70742,10.580455780029297,3.2934494018554688
word,linear_svm,3,26295,8765,5.069155875011347,70450,10.564434051513672,3.3031539916992188
word,linear_svm,4,26295,8765,5.077114665997215,70262,10.565567016601562,3.296459197998047
word,logistic_regression,1,26295,8765,7.712835541984532,70605,10.591075897216797,3.279064178466797
word,logistic_regression,2,26295,8765,8.219822000013664,70742,10.580455780029297,3.2934494018554688
word,logistic_regression,3,26295,8765,7.848798082966823,70450,10.564434051513672,3.3031539916992188
word,logistic_regression,4,26295,8765,7.7688064579851925,70262,10.565567016601562,3.296459197998047
