preprocessing,model,validation_fold,train_rows,validation_rows,macro_f1,balanced_accuracy,mcc
p0,linear_svm,1,26295,8765,0.8486979227585533,0.8498111599596897,0.8367335826004318
p0,linear_svm,2,26295,8765,0.8428441031755444,0.8437171093903216,0.830543911651085
p0,linear_svm,3,26295,8765,0.852861644211152,0.8538615745745065,0.8421029097762694
p0,linear_svm,4,26295,8765,0.8485203927028945,0.849446966710032,0.8377561500107489
p0,logistic_regression,1,26295,8765,0.8471146344191695,0.8481187178430981,0.8335615095781626
p0,logistic_regression,2,26295,8765,0.8390341968479388,0.8396725252461329,0.8247955581206601
p0,logistic_regression,3,26295,8765,0.8543659966876881,0.8553011823724873,0.8422754964426845
p0,logistic_regression,4,26295,8765,0.8420638684902763,0.8432157440785435,0.8297387004484615
p1,linear_svm,1,26295,8765,0.8536893623217964,0.8545143567639061,0.8418989242325343
p1,linear_svm,2,26295,8765,0.8469375811608496,0.8479191824312237,0.835413616560645
p1,linear_svm,3,26295,8765,0.8561711382105518,0.8570917738993638,0.8458834542364367
p1,linear_svm,4,26295,8765,0.8478787560377065,0.8490645819517689,0.8373488094734253
p1,logistic_regression,1,26295,8765,0.851106590550649,0.8520090580070301,0.8381036021311834
p1,logistic_regression,2,26295,8765,0.8453083355777897,0.8463051264281981,0.8322157474342915
p1,logistic_regression,3,26295,8765,0.8567749472325633,0.8575959463641928,0.8455053724838792
p1,logistic_regression,4,26295,8765,0.8473924198033337,0.8486310264954509,0.8362473247216498
p2,linear_svm,1,26295,8765,0.847172878417556,0.8476204618090147,0.83369653342575
p2,linear_svm,2,26295,8765,0.8466727281760407,0.8475868896656483,0.8342346231589315
p2,linear_svm,3,26295,8765,0.8549083976492224,0.8556434152355958,0.8441404918082074
p2,linear_svm,4,26295,8765,0.8447769197678099,0.8454035937724748,0.8329074373424936
p2,logistic_regression,1,26295,8765,0.847899647762871,0.8486386309407655,0.834451951851758
p2,logistic_regression,2,26295,8765,0.8510979019853356,0.8519628225026183,0.8384879267323361
p2,logistic_regression,3,26295,8765,0.8574311487123712,0.8582608546892684,0.845963444533578
p2,logistic_regression,4,26295,8765,0.8450116041215651,0.8458229339626023,0.8328939331273745
