preprocessing,model,label,precision_mean,recall_mean,f1_mean,support_total
p0,linear_svm,age,0.9461271499447413,0.981001701066538,0.963233858616177,6369
p0,linear_svm,ethnicity,0.967028624043009,0.9809027777777778,0.9739135139505289,6336
p0,linear_svm,gender,0.9022214174462078,0.8531768252541192,0.8769977417604341,6089
p0,linear_svm,not_cyberbullying,0.6768394015496715,0.6079982131945045,0.6405507231514354,5051
p0,linear_svm,other_cyberbullying,0.6659374526297854,0.7124520360540976,0.6883225582292753,4834
p0,linear_svm,religion,0.9333926138364159,0.9597236626047878,0.9463676985643655,6381
p0,logistic_regression,age,0.9492405841522134,0.9769194765415274,0.9628589021161955,6369
p0,logistic_regression,ethnicity,0.9689020008265921,0.9734848484848485,0.9711871785930979,6336
p0,logistic_regression,gender,0.9175032405260505,0.8306786091149031,0.8718988036282026,6089
p0,logistic_regression,not_cyberbullying,0.675321565848596,0.6081974093829874,0.6399565828570579,5051
p0,logistic_regression,other_cyberbullying,0.6558934664318313,0.7350026224398688,0.6931527809859277,4834
p0,logistic_regression,religion,0.9153045813460059,0.9551792883462575,0.9348137964871275,6381
p1,linear_svm,age,0.9473428880011804,0.9822585739431622,0.9644668571189957,6369
p1,linear_svm,ethnicity,0.9725296740445056,0.983270202020202,0.977869755966227,6336
p1,linear_svm,gender,0.9045121346805572,0.8587622292608389,0.8809370611918764,6089
p1,linear_svm,not_cyberbullying,0.6790219937907086,0.6081996052464825,0.6416279160288649,5051
p1,linear_svm,other_cyberbullying,0.6671087980309557,0.7211404943059504,0.6930490624364989,4834
p1,linear_svm,religion,0.9391040803439922,0.9592537377927577,0.9490646038538937,6381
p1,logistic_regression,age,0.95058353910849,0.9806876307147792,0.9653809058694298,6369
p1,logistic_regression,ethnicity,0.9768303159370081,0.978219696969697,0.9775238157028723,6336
p1,logistic_regression,gender,0.9165168369459362,0.8387253958790444,0.875787832773775,6089
p1,logistic_regression,not_cyberbullying,0.6835872335441853,0.6085948606755982,0.6438534232982455,5051
p1,logistic_regression,other_cyberbullying,0.6553573826999953,0.7443081757130572,0.6969555920462921,4834
p1,logistic_regression,religion,0.9269422796780136,0.956275975990132,0.9413718700558887,6381
p2,linear_svm,age,0.9506124911180847,0.970167752604832,0.9602866059919835,6369
p2,linear_svm,ethnicity,0.9700637063590457,0.9816919191919192,0.9758375302735671,6336
p2,linear_svm,gender,0.8987928123063208,0.8581050911861315,0.8778847066707515,6089
p2,linear_svm,not_cyberbullying,0.6611566478343377,0.6121574923489842,0.635640064124473,5051
p2,linear_svm,other_cyberbullying,0.6639672703800276,0.7141025298670567,0.6878614897391122,4834
p2,linear_svm,religion,0.9475014167866262,0.9581567555251765,0.9527859892160563,6381
p2,logistic_regression,age,0.948526254444851,0.9766056033462983,0.9623368176153524,6369
p2,logistic_regression,ethnicity,0.9728462032038396,0.9780618686868687,0.9754412568355877,6336
p2,logistic_regression,gender,0.9190654775840112,0.8425032118122214,0.8790469532300947,6089
p2,logistic_regression,not_cyberbullying,0.6765879643349278,0.6115625701892081,0.642423317968888,5051
p2,logistic_regression,other_cyberbullying,0.6494807952271251,0.743272551613451,0.6930989067972352,4834
p2,logistic_regression,religion,0.9446793410374276,0.9550220574948343,0.9498132014260567,6381
