preprocessing,model,validation_fold,train_rows,validation_rows,elapsed_seconds,feature_count
p0,linear_svm,1,26295,8765,1.5844332499837037,73563
p0,linear_svm,2,26295,8765,1.4581041670171544,73673
p0,linear_svm,3,26295,8765,1.4515522089786828,73239
p0,linear_svm,4,26295,8765,1.5316912080161273,73171
p0,logistic_regression,1,26295,8765,3.6706183339993004,73563
p0,logistic_regression,2,26295,8765,4.245463375002146,73673
p0,logistic_regression,3,26295,8765,4.354554999998072,73239
p0,logistic_regression,4,26295,8765,4.024003083992284,73171
p1,linear_svm,1,26295,8765,2.9108057910052594,70605
p1,linear_svm,2,26295,8765,2.9278219590196386,70742
p1,linear_svm,3,26295,8765,2.8461712500138674,70450
p1,linear_svm,4,26295,8765,2.797451374994125,70262
p1,logistic_regression,1,26295,8765,5.339003500004765,70605
p1,logistic_regression,2,26295,8765,5.633914999983972,70742
p1,logistic_regression,3,26295,8765,5.826298790983856,70450
p1,logistic_regression,4,26295,8765,5.2876182080071885,70262
p2,linear_svm,1,26295,8765,1.2007097080058884,39763
p2,linear_svm,2,26295,8765,1.2078329169889912,39771
p2,linear_svm,3,26295,8765,1.200291457993444,39498
p2,linear_svm,4,26295,8765,1.1955825409968384,39630
p2,logistic_regression,1,26295,8765,2.442040541995084,39763
p2,logistic_regression,2,26295,8765,2.2101105409965385,39771
p2,logistic_regression,3,26295,8765,2.267493999999715,39498
p2,logistic_regression,4,26295,8765,2.2885486659943126,39630
