metric,value
row_count,47692.0
observed_class_count,6.0
character_length_mean,136.25322905309068
character_length_median,124.0
character_length_total,6498189.0
word_count_mean,23.704835192485113
word_count_median,20.0
word_count_total,1130531.0
url_count_mean,0.0954877128239537
url_count_median,0.0
url_count_total,4554.0
user_mention_count_mean,0.5647907405854231
user_mention_count_median,0.0
user_mention_count_total,26936.0
hashtag_count_mean,0.2348402247756437
hashtag_count_median,0.0
hashtag_count_total,11200.0
has_emoji_mean,0.00922586597332886
has_emoji_median,0.0
has_emoji_total,440.0
uppercase_ratio_mean,0.0856816229520477
uppercase_ratio_median,0.046511627906976744
uppercase_ratio_total,4086.0
punctuation_count_mean,5.948314182672147
punctuation_count_median,5.0
punctuation_count_total,283687.0
repeated_character_count_mean,0.1972028851799044
repeated_character_count_median,0.0
repeated_character_count_total,9405.0
