scheme,partition,cyberbullying_type,row_count,class_percentage
random_80_20,test,age,1593,18.17248459958932
random_80_20,test,ethnicity,1584,18.069815195071868
random_80_20,test,gender,1523,17.373944786675793
random_80_20,test,not_cyberbullying,1263,14.407939767282683
random_80_20,test,other_cyberbullying,1208,13.78051562856491
random_80_20,test,religion,1595,18.195300022815424
random_80_20,train,age,6369,18.16600114090131
random_80_20,train,ethnicity,6336,18.0718767826583
random_80_20,train,gender,6089,17.367370222475756
random_80_20,train,not_cyberbullying,5051,14.406731317741015
random_80_20,train,other_cyberbullying,4834,13.787792355961209
random_80_20,train,religion,6381,18.200228180262407
leakage_aware_5_fold,fold_0_test,age,1593,18.17248459958932
leakage_aware_5_fold,fold_0_test,ethnicity,1584,18.069815195071868
leakage_aware_5_fold,fold_0_test,gender,1523,17.373944786675793
leakage_aware_5_fold,fold_0_test,not_cyberbullying,1263,14.407939767282683
leakage_aware_5_fold,fold_0_test,other_cyberbullying,1208,13.78051562856491
leakage_aware_5_fold,fold_0_test,religion,1595,18.195300022815424
leakage_aware_5_fold,fold_1_test,age,1592,18.163148887621222
leakage_aware_5_fold,fold_1_test,ethnicity,1584,18.0718767826583
leakage_aware_5_fold,fold_1_test,gender,1522,17.364517969195663
leakage_aware_5_fold,fold_1_test,not_cyberbullying,1262,14.398174557900742
leakage_aware_5_fold,fold_1_test,other_cyberbullying,1209,13.793496862521392
leakage_aware_5_fold,fold_1_test,religion,1596,18.20878494010268
leakage_aware_5_fold,fold_2_test,age,1592,18.163148887621222
leakage_aware_5_fold,fold_2_test,ethnicity,1584,18.0718767826583
leakage_aware_5_fold,fold_2_test,gender,1522,17.364517969195663
leakage_aware_5_fold,fold_2_test,not_cyberbullying,1263,14.409583571021106
leakage_aware_5_fold,fold_2_test,other_cyberbullying,1209,13.793496862521392
leakage_aware_5_fold,fold_2_test,religion,1595,18.197375926982314
leakage_aware_5_fold,fold_3_test,age,1593,18.174557900741586
leakage_aware_5_fold,fold_3_test,ethnicity,1584,18.0718767826583
leakage_aware_5_fold,fold_3_test,gender,1522,17.364517969195663
leakage_aware_5_fold,fold_3_test,not_cyberbullying,1263,14.409583571021106
leakage_aware_5_fold,fold_3_test,other_cyberbullying,1208,13.782087849401027
leakage_aware_5_fold,fold_3_test,religion,1595,18.197375926982314
leakage_aware_5_fold,fold_4_test,age,1592,18.163148887621222
leakage_aware_5_fold,fold_4_test,ethnicity,1584,18.0718767826583
leakage_aware_5_fold,fold_4_test,gender,1523,17.375926982316027
leakage_aware_5_fold,fold_4_test,not_cyberbullying,1263,14.409583571021106
leakage_aware_5_fold,fold_4_test,other_cyberbullying,1208,13.782087849401027
leakage_aware_5_fold,fold_4_test,religion,1595,18.197375926982314
